id,value
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,1
