id,value
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
