cell_line	test	chem_tranform	spontaneous_transform	fibrocystic	medullary_carcinoma	primary_ductal_carcinoma	invasive_ductal_carcinoma	adenocarcinoma	carcinosarcoma	ER	PR	ERBB2amp	mutTP53
184A1	0	1	0	0	0	0	0	0	0	0	0	0	0
600MPE	1	0	0	0	0	0	1	0	0	1	0	0	0
AU565	1	0	0	0	0	0	0	1	0	0	0	1	0
BT474	0	0	0	0	0	0	1	0	0	1	1	1	1
CAMA1	0	0	0	0	0	0	0	1	0	0	0	0	0
HCC70	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1143	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1187	1	0	0	0	0	1	0	0	0	0	0	0	0
HCC1395	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1419	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1428	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1806	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1937	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC1954	1	0	0	0	0	1	0	0	0	0	0	0	0
HCC2185	0	0	0	0	0	1	0	0	0	0	0	0	0
HCC3153	1	0	0	0	0	1	0	0	0	0	0	0	0
HS578T	0	0	0	0	0	0	0	0	1	0	0	0	1
LY2	1	1	0	0	0	0	0	0	0	1	1	0	0
MCF12A	1	0	1	0	0	0	0	0	0	1	1	0	0
MCF10F	0	0	0	1	0	0	0	0	0	1	1	0	0
MCF7	1	0	0	0	0	0	1	0	0	1	1	0	0
MDAMB134VI	0	0	0	0	0	0	1	0	0	0	0	0	0
MDAMB157	1	0	0	0	0	1	0	0	0	0	0	0	0
MDAMB175VII	0	0	0	0	0	0	1	0	0	0	0	0	0
MDAMB231	1	0	0	0	0	0	1	0	0	0	0	0	1
MDAMB361	1	0	0	0	0	0	0	1	0	0	0	0	0
MDAMB415	0	0	0	0	0	0	0	1	0	0	0	0	0
MDAMB453	0	0	0	0	0	0	1	0	0	0	0	0	0
SKBR3	1	0	0	0	0	0	1	0	0	0	0	1	1
SUM52PE	0	0	0	0	0	0	0	0	0	0	0	0	0
SUM149PT	0	0	0	0	0	0	1	0	0	0	0	0	0
SUM159PT	0	0	0	0	1	0	0	0	0	0	0	0	0
SUM185PE	0	0	0	0	1	0	0	0	0	0	0	0	0
SUM1315MO2	0	0	0	0	0	0	0	0	0	0	0	0	0
T47D	0	0	0	0	0	0	1	0	0	1	1	0	1
ZR751	0	0	0	0	0	0	0	0	0	0	0	0	0
ZR75B	0	0	0	0	0	0	1	0	0	0	0	0	0
BT549	1	0	0	0	0	0	1	0	0	0	0	0	1
MCF10A	1	0	0	1	0	0	0	0	0	0	0	0	0
