	polyamine 	platinum 	aurora protein kinase inhibitor	PLK1 inhibitor	Anti-tumor antibiotic	Mitotic inhibitor	MEK inhibitor	PI3K inhibitor	gamma-secretase inhibitor	kinase inhibitors	PLK_Aur_pthwy	growth_survival_pthwy
CGC-11047	1	0	0	0	0	0	0	0	0	0	0	0
Carboplatin	0	1	0	0	0	0	0	0	0	0	0	0
Cisplatin	0	1	0	0	0	0	0	0	0	0	0	0
Oxaliplatin	0	1	0	0	0	0	0	0	0	0	0	0
GSK1070916	0	0	1	0	0	0	0	0	0	0	1	0
PF-3814735	0	0	1	0	0	0	0	0	0	0	1	0
GSK461364	0	0	0	1	0	0	0	0	0	1	1	0
Geldanamycin	0	0	0	0	1	0	0	0	0	0	0	0
Paclitaxel	0	0	0	0	0	1	0	0	0	0	0	0
GSK1120212	0	0	0	0	0	0	1	0	0	1	0	1
PF-4691502	0	0	0	0	0	0	0	1	0	1	0	1
PF-3084014	0	0	0	0	0	0	0	0	1	0	0	0
