CGC-11047	Carboplatin	Cisplatin	Paclitaxel
ANP32E	TRIB3	GJA1	C6orf120
PRPS2	ASNS	TWIST1	BLMH
EGR1	SLC7A5	HAPLN1	ACTR6
ID3	ADM	COL11A1	USP21
MTND3	STC2	CYP1B1	NIT1
INSIG1	PHGDH	TMEM16C	VPS72
BAG1	IGFBP3	COL11A1	KIAA0859
SQLE	ANGPTL4	ZBTB20	GTF2H5
LOC203069	PCK2	AF131741	PIGC
ID2	FAM129A	TFPI2	C1orf25
FOSB	MKX	KIAA0960	TBP
STARD4	MIR21	EGLN3	NCSTN
NDUFS1		ITM2A	SF3B4
RPS4Y		PEG10	SCAMP3
TREX1		LPHN2	MTX1
IDI1		EPHA3	C1orf27
THRAP3		CKLF	RHOT1
TEB4		KYNU	ZNF200
HSPA4		TFPI2	SCNM1
HBA2		CKLF	DDX23
RARSL		C21orf34	SSR2
AGA		MGST1	ENSA
CUL5		NEBL	PDCD2
TMEM20		FLJ14712	TIMM17B
MGA		CDH2	NFS1
FLJ36445		IGF1R	GNPDA1
MGC13114		SMARCA2	NKIRAS2
SLC26A2		C9orf93	ENOPH1
RAP2B		UACA	TTC31
MGC16037		IRX3	NUDT9
MK-STYX		TMEM2	
BARD1		MMP10	
EFA6R		FLJ11889	
BHLHB3		JAG1	
HCFC1R1		MARCKS	
LAMP3		PSG11	
KIAA1641		FZD8	
KIAA2026		INDO	
IRS1		AKR1C1	
SLC6A6		AKR1C3	
EDG2		PSG8	
BIRC3		GPR126	
TARBP1		AKR1C1	
APBB3		CXorf26	
SCA1		PCDH7	
KLF7		EDNRB	
PPAP2B		ADM	
FLJ10120		TES	
CCNL2		BAMBI	
VEGF		GSG1	
ARL7		PPIC	
CSAD		BCAN	
NCDN		CXorf26	
ARL7		CMYA3	
CCNL2		TDO2	
SAT		C18orf4	
LOC283874		CHRDL1	
MGEA5		AKR1C1	
LOC147563		ROBO2	
SAT		LAMA4	
WSB1		ZFP42	
PRO1073		GPC3	
SAT		FOXG1B	
		HFL1	
		MEST	
		NM_181847	
		SCAP1	
		CFH	
		SEMA6A	
