id,value
1,0.412
2,0.1956
3,0.198
4,0.5636
5,0.6056
6,0.272
7,0.4376
8,0.4056
9,0.8296
10,0.442
11,0.566
12,0.404
13,0.554
14,0.53
15,0.28
16,0.678
17,0.672
18,0.678
19,0.814
20,0.622
21,0.178
22,0.734
23,0.82
24,0.758
25,0.74
26,0.882
27,0.834
28,0.594
29,0.556
30,0.580666666666667
31,0.65
32,0.476
33,0.692666666666667
34,0.566666666666667
35,0.714
36,0.946
37,0.766
38,0.3
39,0.212
40,0.894
41,0.76
42,0.492
43,0.678
44,0.606
45,0.884
46,0.374
47,0.638
48,0.514
49,0.352
50,0.332
51,0.414
52,0.412
53,0.712
54,0.678
55,0.4441
56,0.094
57,0.1582
58,0.3667
59,0.4049
60,0.1507
61,0.3238
62,0.2395
63,0.4199
64,0.424
65,0.914
66,0.122
67,0.536
68,0.39
69,0.41
70,0.548
71,0.944
72,0.796
73,0.462
74,0.282
75,0.118
76,0.796
77,0.84
78,0.292
79,0.65
80,0.336
81,0.822
82,0.562
83,0.79
84,0.948
85,0.264
86,0.332
87,0.512
88,0.732
89,0.458
90,0.188
91,0.7604
92,0.86
93,0.524
94,0.648
95,0.6584
96,0.3384
97,0.5664
98,0.844
99,0.6844
100,0.2295
101,0.276
102,0.3475
103,0.164
104,0.102
105,0.4855
106,0.072
107,0.408
108,0.26
109,0.5936
110,0.3816
111,0.7376
112,0.3596
113,0.3816
114,0.464
115,0.64
116,0.478
117,0.558
118,0.742
119,0.928
120,0.806
121,0.872
122,0.554
123,0.602
124,0.714666666666667
125,0.602
126,0.766
127,0.578
128,0.580666666666667
129,0.712
130,0.808
131,0.744
132,0.338
133,0.628
134,0.638
135,0.39
136,0.278
137,0.698
138,0.526
139,0.3594
140,0.3127
141,0.6149
142,0.244
143,0.327
144,0.724
145,0.486
146,0.342
147,0.824
148,0.644
149,0.768
150,0.596
151,0.802
152,0.282
153,0.47
154,0.23
155,0.362
156,0.32
157,0.624
158,0.538
159,0.6664
160,0.5904
161,0.504
162,0.824
163,0.676
164,0.116
165,0.158
166,0.238
167,0.408
168,0.25
